NAME,FLOOR,X,Y
C1-8,1,90.591,-75.689
C1-19,1,95.502,-85.4
C1-20,1,95.464,-81.282
C1-33,1,151.789,-141.862
C1-34,1,151.955,-137.621
C1-7,1,99.779,-75.781
THEATRES3-DH,1,90.739,-81.461
THEATRES-STORE2,1,99.71,-71.487
THEATRES-STORE,1,90.853,-71.689
THEATRES1-DH,1,139.063,-71.881
THEATRES2-DH,1,168.904,-71.507
ICU-DH,1,147.455,-81.503
ENDOSCOPY-DH,1,155.718,-137.412
OPD4-DH,1,178.713,-153.776
OPD3-DH,1,139.764,-153.789
BIRTHING-SUITE-DH,1,73.428,-9.868
NEONATAL-DH,1,73.635,-49.133
ANTE-DH,1,73.533,-87.771
Lift-6,1,138.437,-138.749
Lift-5,1,138.393,-135.355
Lift-2,1,140.476,-81.715
Lift-1,1,137.043,-81.715
Lift-4,1,140.605,-89.055
Lift-3,1,137.09,-89.028
C1-4,1,139.011,-75.504
C1-24,1,143.407,-85.152
C1-25,1,143.587,-80.986
C1-32,1,178.434,-150.018
C1-1,1,168.895,-75.288
C1-2,1,151.815,-75.288
C1-3,1,143.506,-75.521
C1-23,1,140.674,-85.184
C1-22,1,137.463,-85.184
C1-21,1,133.992,-85.184
C1-5,1,133.845,-75.784
C1-6,1,107.222,-75.958
C1-12,1,77.249,-59.896
C1-9,1,77.326,-75.829
C1-10,1,77.377,-84.723
Lift-8,1,92.111,-89.054
C1-17,1,88.94,-85.399
C1-13,1,77.478,-49.417
C1-14,1,77.167,-30.539
C1-15,1,77.438,-10.134
C1-16,1,77.581,-6.771
C1-11,1,77.446,-87.894
C1-26,1,142.333,-132.392
C1-29,1,142.168,-142.002
C1-27,1,142.122,-135.61
C1-28,1,142.21,-138.617
C1-30,1,142.736,-149.965
C1-31,1,139.652,-150.053
C1-18,1,91.946,-85.425
Lift-7,1,88.661,-88.972
