NAME,FLOOR,X,Y
C2-20,2,88.598,-84.924
Lift-3,2,137.09,-89.028
Lift-4,2,140.605,-89.055
Lift-1,2,137.043,-81.715
Lift-2,2,140.476,-81.715
Lift-5,2,138.393,-135.355
Lift-6,2,138.437,-138.749
KITCHEN,2,142.071,-131.132
KITCHEN-DH,2,138.335,-152.906
AMR-CENTRE,2,157.693,-81.762
C2-1,2,142.153,-135.436
C2-2,2,142.153,-138.602
C2-3,2,142.469,-149.736
C2-4,2,138.449,-149.882
Lift-8,2,92.111,-89.054
C2-5,2,134.284,-149.468
C2-7,2,133.817,-102.025
C2-14,2,133.763,-85.18
C2-13,2,137.466,-85.343
C2-12,2,140.491,-85.343
C2-8,2,133.864,-93.484
C2-9,2,151.66,-93.437
C2-10,2,151.725,-84.757
C2-11,2,157.402,-84.491
C2-15,2,125.528,-93.415
C2-16,2,104.071,-93.383
C2-17,2,95.251,-93.462
C2-18,2,95.265,-84.877
C2-19,2,91.617,-84.924
C2-6,2,133.869,-125.703
Lift-7,2,88.661,-88.972
