amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,payload_instance_id,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type,pending_reason,tracked_item_exchange,exchange_mode,tracked_item_source_payload,tracked_items
,GEN_PHARMACY_D1_00001,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D1-PHARMACY,,,172.392,-97.072,0,65.0,-91.0,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,D7-PHARMACY,D1-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D1,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D2_00002,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D2-PHARMACY,,,172.392,-97.072,0,69.193,-50.079,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D2_00002-000003,,D7-PHARMACY,D2-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D2,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D3_00003,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D3-PHARMACY,,,172.392,-97.072,0,65.279,-12.892,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D3_00003-000004,,D7-PHARMACY,D3-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D3,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D4_00004,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D4-PHARMACY,,,172.392,-97.072,0,140.351,-171.506,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D4_00004-000005,,D7-PHARMACY,D4-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D4,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,,2026-01-01 08:00:00,2026-01-01 08:00:01,,,AMR-CENTRE,D1-PHARMACY,,,,,,,start,10800.0,2026-01-01 08:00:00,task_assigned,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,D7-PHARMACY,D1-PHARMACY,,0.0,0.0,0.0,0.0,280.861,Assigned task to AMR-A-1,task_generation,D1,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:00:00,2026-01-01 08:00:02,AMR-CENTRE,C2-11,,,157.36,-81.619,2,157.38,-84.803,2,completed,10800.0,2026-01-01 08:00:00,segment_corridor,,,,AMR-CENTRE,C2-11,,2.653,0.0,3.184,0.0,0.0,"{""type"": ""corridor"", ""from"": ""AMR-CENTRE"", ""to"": ""C2-11"", ""duration"": 2.6533856778756353, ""distance_m"": 3.1840628134507623, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 157.36, ""from_y"": -81.619, ""to_x"": 157.38, ""to_y"": -84.803, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:00:02,2026-01-01 08:00:07,C2-11,C2-10,,,157.38,-84.803,2,151.747,-84.823,2,completed,10802.653,2026-01-01 08:00:02,segment_corridor,,,,C2-11,C2-10,,4.694,0.0,5.633,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-11"", ""to"": ""C2-10"", ""duration"": 4.694196254122965, ""distance_m"": 5.633035504947558, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 157.38, ""from_y"": -84.803, ""to_x"": 151.747, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:00:07,2026-01-01 08:00:11,C2-10,C2-22,,,151.747,-84.823,2,146.298,-84.823,2,completed,10807.348,2026-01-01 08:00:07,segment_corridor,,,,C2-10,C2-22,,4.541,0.0,5.449,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-10"", ""to"": ""C2-22"", ""duration"": 4.540833333333344, ""distance_m"": 5.449000000000012, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 151.747, ""from_y"": -84.823, ""to_x"": 146.298, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:00:11,2026-01-01 08:00:16,C2-22,C2-12,,,146.298,-84.823,2,140.54,-85.162,2,completed,10811.888,2026-01-01 08:00:11,segment_corridor,,,,C2-22,C2-12,,4.807,0.0,5.768,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-22"", ""to"": ""C2-12"", ""duration"": 4.806642178046736, ""distance_m"": 5.767970613656082, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 146.298, ""from_y"": -84.823, ""to_x"": 140.54, ""to_y"": -85.162, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:00:16,2026-01-01 08:00:19,C2-12,Lift-2-F2,,,140.54,-85.162,2,140.476,-81.715,2,completed,10816.695,2026-01-01 08:00:16,segment_corridor,,,,C2-12,Lift-2-F2,,2.873,0.0,3.448,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-12"", ""to"": ""Lift-2-F2"", ""duration"": 2.8729950738635908, ""distance_m"": 3.4475940886363086, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 140.54, ""from_y"": -85.162, ""to_x"": 140.476, ""to_y"": -81.715, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,,,False,,,{}
