amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,payload_instance_id,payload_slot,onboard_payloads,onboard_slots,multi_stop_task_ids,multi_stop_pickup_count,multi_stop_dropoff_count,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type,pending_reason,tracked_item_exchange,exchange_mode,tracked_item_source_payload,tracked_items
,GEN_CATERING_D1_00001,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D1-CATERING,,,139.474,-129.443,2,48.602,-86.67,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D1_00001-000001,,[],[],[],0,0,,D28-CATERING,D1-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D1,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D3_00002,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D3-CATERING,,,139.474,-129.443,2,48.336,-8.53,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D3_00002-000002,,[],[],[],0,0,,D28-CATERING,D3-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D3,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D3_00003,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D3-CATERING_2,,,139.474,-129.443,2,18.579,-12.775,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D3_00003-000003,,[],[],[],0,0,,D28-CATERING,D3-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D3,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D21_00004,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D21-CATERING,,,139.474,-129.443,2,200.756,-87.102,1,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D21_00004-000004,,[],[],[],0,0,,D28-CATERING,D21-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D21,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D29_00005,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D29-CATERING,,,139.474,-129.443,2,19.0,-91.0,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D29_00005-000005,,[],[],[],0,0,,D28-CATERING,D29-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D29,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D29_00006,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D29-CATERING_2,,,139.474,-129.443,2,48.0,-87.0,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D29_00006-000006,,[],[],[],0,0,,D28-CATERING,D29-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D29,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D30_00007,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D30-CATERING,,,139.474,-129.443,2,93.31,-46.559,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D30_00007-000007,,[],[],[],0,0,,D28-CATERING,D30-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D30,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D30_00008,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D30-CATERING_2,,,139.474,-129.443,2,89.186,-16.787,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D30_00008-000008,,[],[],[],0,0,,D28-CATERING,D30-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D30,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D31_00009,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D31-CATERING,,,139.474,-129.443,2,140.704,-46.572,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D31_00009-000009,,[],[],[],0,0,,D28-CATERING,D31-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D31,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D31_00010,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D31-CATERING_2,,,139.474,-129.443,2,136.65,-16.694,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D31_00010-000010,,[],[],[],0,0,,D28-CATERING,D31-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D31,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D32_00011,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D32-CATERING,,,139.474,-129.443,2,183.531,-86.411,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D32_00011-000011,,[],[],[],0,0,,D28-CATERING,D32-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D32,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D32_00012,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D32-CATERING_2,,,139.474,-129.443,2,183.41,-91.665,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D32_00012-000012,,[],[],[],0,0,,D28-CATERING,D32-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D32,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D33_00013,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D33-CATERING,,,139.474,-129.443,2,180.637,-138.929,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D33_00013-000013,,[],[],[],0,0,,D28-CATERING,D33-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D33,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D33_00014,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D33-CATERING_2,,,139.474,-129.443,2,210.593,-134.659,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D33_00014-000014,,[],[],[],0,0,,D28-CATERING,D33-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D33,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D34_00015,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D34-CATERING,,,139.474,-129.443,2,135.803,-178.873,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D34_00015-000015,,[],[],[],0,0,,D28-CATERING,D34-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D34,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D34_00016,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D34-CATERING_2,,,139.474,-129.443,2,140.124,-208.75,3,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D34_00016-000016,,[],[],[],0,0,,D28-CATERING,D34-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D34,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D35_00017,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D35-CATERING,,,139.474,-129.443,2,48.372,-86.511,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D35_00017-000017,,[],[],[],0,0,,D28-CATERING,D35-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D35,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D35_00018,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D35-CATERING_2,,,139.474,-129.443,2,18.544,-90.82,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D35_00018-000018,,[],[],[],0,0,,D28-CATERING,D35-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D35,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D36_00019,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D36-CATERING,,,139.474,-129.443,2,93.278,-46.61,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D36_00019-000019,,[],[],[],0,0,,D28-CATERING,D36-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D36,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D36_00020,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D36-CATERING_2,,,139.474,-129.443,2,89.175,-16.715,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D36_00020-000020,,[],[],[],0,0,,D28-CATERING,D36-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D36,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D37_00021,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D37-CATERING,,,139.474,-129.443,2,136.526,-16.748,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D37_00021-000021,,[],[],[],0,0,,D28-CATERING,D37-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D37,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D37_00022,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D37-CATERING_2,,,139.474,-129.443,2,140.71,-46.513,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D37_00022-000022,,[],[],[],0,0,,D28-CATERING,D37-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D37,,0.0,Burlodge Trolley,,False,,,{}
