amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type
AMR-A-1,T253,,2026-01-01 06:00:00,2026-01-01 06:00:01,,,AMR-CENTRE,UEC-DELIVERYHUB,,,,,,,start,3600.0,2026-01-01 06:00:00,task_assigned,linen_cart,,Linen Deliveries,UEC-DELIVERYHUB,,0.0,0.0,0.0,0.0,407.071,Assigned task to AMR-A-1,,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:00,2026-01-01 06:00:02,AMR-CENTRE,C2-11,,,157.36,-81.619,2,157.38,-84.803,2,completed,3600.0,2026-01-01 06:00:00,segment_corridor,linen_cart,,AMR-CENTRE,C2-11,,2.653,0.0,3.184,0.0,0.0,"{""type"": ""corridor"", ""from"": ""AMR-CENTRE"", ""to"": ""C2-11"", ""duration"": 2.6533856778756353, ""distance_m"": 3.1840628134507623, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 157.36, ""from_y"": -81.619, ""to_x"": 157.38, ""to_y"": -84.803, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:02,2026-01-01 06:00:07,C2-11,C2-10,,,157.38,-84.803,2,151.747,-84.823,2,completed,3602.653,2026-01-01 06:00:02,segment_corridor,linen_cart,,C2-11,C2-10,,4.694,0.0,5.633,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-11"", ""to"": ""C2-10"", ""duration"": 4.694196254122965, ""distance_m"": 5.633035504947558, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 157.38, ""from_y"": -84.803, ""to_x"": 151.747, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:07,2026-01-01 06:00:11,C2-10,C2-22,,,151.747,-84.823,2,146.298,-84.823,2,completed,3607.348,2026-01-01 06:00:07,segment_corridor,linen_cart,,C2-10,C2-22,,4.541,0.0,5.449,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-10"", ""to"": ""C2-22"", ""duration"": 4.540833333333344, ""distance_m"": 5.449000000000012, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 151.747, ""from_y"": -84.823, ""to_x"": 146.298, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:11,2026-01-01 06:00:16,C2-22,C2-12,,,146.298,-84.823,2,140.54,-85.162,2,completed,3611.888,2026-01-01 06:00:11,segment_corridor,linen_cart,,C2-22,C2-12,,4.807,0.0,5.768,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-22"", ""to"": ""C2-12"", ""duration"": 4.806642178046736, ""distance_m"": 5.767970613656082, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 146.298, ""from_y"": -84.823, ""to_x"": 140.54, ""to_y"": -85.162, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:16,2026-01-01 06:00:19,C2-12,Lift-2-F2,,,140.54,-85.162,2,140.476,-81.715,2,completed,3616.695,2026-01-01 06:00:16,segment_corridor,linen_cart,,C2-12,Lift-2-F2,,2.873,0.0,3.448,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-12"", ""to"": ""Lift-2-F2"", ""duration"": 2.8729950738635908, ""distance_m"": 3.4475940886363086, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 140.54, ""from_y"": -85.162, ""to_x"": 140.476, ""to_y"": -81.715, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-1,T253,lift_reposition,2026-01-01 06:00:19,2026-01-01 06:00:24,Lift-2-F4,Lift-2-F2,,,,,,140.476,-81.715,2,completed,3619.568,2026-01-01 06:00:19,segment_lift_reposition,linen_cart,,Lift-2-F4,Lift-2-F2,Lift-2,4.444,0.0,8.0,0.014673076923076922,0.0,"{""type"": ""lift_reposition"", ""lift_id"": ""Lift-2"", ""from"": ""Lift-2-F4"", ""to"": ""Lift-2-F2"", ""from_floor"": null, ""to_floor"": 2, ""wait_time"": 0.0, ""duration"": 4.444444444444445, ""distance_m"": 8.0, ""vertical_distance_m"": 8.0, ""energy_kwh"": 0.014673076923076922, ""from_x"": null, ""from_y"": null, ""to_x"": 140.476, ""to_y"": -81.715}",,,,0.0,
AMR-A-1,T253,lift_transfer,2026-01-01 06:00:24,2026-01-01 06:00:48,Lift-2-F2,Lift-2-F0,,,140.476,-81.715,2,140.476,-81.715,0,completed,3624.012,2026-01-01 06:00:24,segment_lift_transfer,linen_cart,,Lift-2-F2,Lift-2-F0,Lift-2,24.444,0.0,8.0,0.018349999999999998,0.0,"{""type"": ""lift_transfer"", ""lift_id"": ""Lift-2"", ""from"": ""Lift-2-F2"", ""to"": ""Lift-2-F0"", ""from_floor"": 2, ""to_floor"": 0, ""wait_time"": 0.0, ""duration"": 24.444444444444244, ""distance_m"": 8.0, ""vertical_distance_m"": 8.0, ""energy_kwh"": 0.018349999999999998, ""from_x"": 140.476, ""from_y"": -81.715, ""to_x"": 140.476, ""to_y"": -81.715}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:48,2026-01-01 06:00:50,Lift-2-F0,C0-23,,,140.476,-81.715,0,140.608,-84.673,0,completed,3648.457,2026-01-01 06:00:48,segment_corridor,linen_cart,,Lift-2-F0,C0-23,,2.467,0.0,2.961,0.0,0.0,"{""type"": ""corridor"", ""from"": ""Lift-2-F0"", ""to"": ""C0-23"", ""duration"": 2.4674531403858504, ""distance_m"": 2.96094376846302, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 140.476, ""from_y"": -81.715, ""to_x"": 140.608, ""to_y"": -84.673, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,
AMR-A-1,T253,corridor,2026-01-01 06:00:50,2026-01-01 06:01:00,C0-23,C0-9,,,140.608,-84.673,0,151.815,-84.679,0,completed,3650.924,2026-01-01 06:00:50,segment_corridor,linen_cart,,C0-23,C0-9,,9.339,0.0,11.207,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-23"", ""to"": ""C0-9"", ""duration"": 9.33916800511575, ""distance_m"": 11.207001606138899, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 140.608, ""from_y"": -84.673, ""to_x"": 151.815, ""to_y"": -84.679, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,
